email-Enron,DP-WCC,1,0.552734375
email-Enron,DP-WCC,2,0.6088867188
email-Enron,DP-WCC,3,0.6157226563
email-Enron,DP-WCC,4,0.6208496094
email-Enron,DP-WCC,5,0.6257324219
email-Enron,DP-WCC,6,0.6298828125
email-Enron,DP-WCC,7,0.6350097656
email-Enron,DP-WCC,8,0.6389160156
email-Enron,DP-WCC,9,0.6440429688
email-Enron,DP-WCC,10,0.6477050781
email-Enron,DP-WCC,11,0.6518554688
email-Enron,DP-WCC,12,0.6560058594
email-Enron,DP-WCC,13,0.6608886719
email-Enron,DP-WCC,14,0.6650390625
email-Enron,DP-WCC,15,0.6687011719
email-Enron,DP-WCC,16,0.673828125
email-Enron,DP-WCC,17,0.6779785156
email-Enron,DP-WCC,18,0.6818847656
email-Enron,DP-WCC,19,0.6860351563
email-Enron,DP-WCC,20,0.6896972656
email-Enron,DP-WCC,21,0.6938476563
email-Enron,DP-WCC,22,0.6979980469
email-Enron,DP-WCC,23,0.7019042969
email-Enron,DP-WCC,24,0.70703125
email-Enron,DP-WCC,25,0.7099609375
email-Enron,DP-WCC,26,0.7138671875
email-Enron,DP-WCC,27,0.7180175781
email-Enron,DP-WCC,28,0.7229003906
email-Enron,DP-WCC,29,0.7268066406
email-Enron,DP-WCC,30,0.7309570313
email-Enron,DP-WCC,31,0.7348632813
email-Enron,DP-WCC,32,0.7390136719
email-Enron,DP-WCC,33,0.7429199219
email-Enron,DP-WCC,34,0.7468261719
email-Enron,DP-WCC,35,0.7509765625
email-Enron,DP-WCC,36,0.7548828125
email-Enron,DP-WCC,37,0.7587890625
email-Enron,DP-WCC,38,0.7639160156
email-Enron,DP-WCC,39,0.7678222656
email-Enron,DP-WCC,40,0.7719726563
email-Enron,DP-WCC,41,0.7758789063
email-Enron,DP-WCC,42,0.7797851563
email-Enron,DP-WCC,43,0.7839355469
email-Enron,DP-WCC,44,0.7878417969
email-Enron,DP-WCC,45,0.7919921875
email-Enron,DP-WCC,46,0.7961425781
email-Enron,DP-WCC,47,0.80078125
email-Enron,DP-WCC,48,0.8039550781
email-Enron,DP-WCC,49,0.8088378906
email-Enron,DP-WCC,50,0.8129882813
email-Enron,DP-WCC,51,0.8168945313
email-Enron,DP-WCC,52,0.8208007813
email-Enron,DP-WCC,53,0.8249511719
email-Enron,DP-WCC,54,0.8288574219
email-Enron,DP-WCC,55,0.8330078125
email-Enron,DP-WCC,56,0.8369140625
email-Enron,DP-WCC,57,1.106689453
email-Enron,DP-WCC,58,1.118896484
email-Enron,DP-WCC,59,1.125
email-Enron,DP-WCC,60,1.12890625
email-Enron,DP-WCC,61,1.1328125
email-Enron,DP-WCC,62,1.136962891
email-Enron,DP-WCC,63,1.140869141
email-Enron,DP-WCC,64,1.145019531
email-Enron,DP-WCC,65,1.148681641
email-Enron,DP-WCC,66,1.152832031
email-Enron,DP-WCC,67,1.156982422
email-Enron,DP-WCC,68,1.161865234
email-Enron,DP-WCC,69,1.166015625
email-Enron,DP-WCC,70,1.169921875
email-Enron,DP-WCC,71,1.172851563
email-Enron,DP-WCC,72,1.177001953
email-Enron,DP-WCC,73,1.181884766
email-Enron,DP-WCC,74,1.185791016
email-Enron,DP-WCC,75,1.189941406
email-Enron,DP-WCC,76,1.193847656
email-Enron,DP-WCC,77,1.197998047
email-Enron,DP-WCC,78,1.201660156
email-Enron,DP-WCC,79,1.205810547
email-Enron,DP-WCC,80,1.2109375
email-Enron,DP-WCC,81,1.213867188
email-Enron,DP-WCC,82,1.218017578
email-Enron,DP-WCC,83,1.221923828
email-Enron,DP-WCC,84,1.225830078
email-Enron,DP-WCC,85,1.230957031
email-Enron,DP-WCC,86,1.234130859
email-Enron,DP-WCC,87,1.239013672
email-Enron,DP-WCC,88,1.242919922
email-Enron,DP-WCC,89,1.246826172
email-Enron,DP-WCC,90,1.250976563
email-Enron,DP-WCC,91,1.255126953
email-Enron,DP-WCC,92,1.258789063
email-Enron,DP-WCC,93,1.262939453
email-Enron,DP-WCC,94,1.266845703
email-Enron,DP-WCC,95,1.284912109
email-Enron,DP-WCC,96,1.287841797
email-Enron,DP-WCC,97,1.291992188
email-Enron,DP-WCC,98,1.295898438
email-Enron,DP-WCC,99,1.299804688
email-Enron,DP-WCC,100,1.302978516
email-Enron,DP-WCC,101,1.310791016
email-Enron,DP-WCC,102,1.314941406
email-Enron,DP-WCC,103,1.319091797
email-Enron,DP-WCC,104,1.322753906
