Email-Enron,Golang_DP-WCC,1,0.798787253
Email-Enron,Golang_DP-WCC,2,0.799943647
Email-Enron,Golang_DP-WCC,3,0.799950182
Email-Enron,Golang_DP-WCC,4,0.799952222
Email-Enron,Golang_DP-WCC,5,0.799954198
Email-Enron,Golang_DP-WCC,6,0.80021356
Email-Enron,Golang_DP-WCC,7,0.800221364
Email-Enron,Golang_DP-WCC,8,0.800223101
Email-Enron,Golang_DP-WCC,9,0.800225022
Email-Enron,Golang_DP-WCC,10,0.800227581
Email-Enron,Golang_DP-WCC,11,0.800230978
Email-Enron,Golang_DP-WCC,12,0.800234781
Email-Enron,Golang_DP-WCC,13,0.800239109
Email-Enron,Golang_DP-WCC,14,0.800242752
Email-Enron,Golang_DP-WCC,15,0.800244838
Email-Enron,Golang_DP-WCC,16,0.80024666
Email-Enron,Golang_DP-WCC,17,0.800249947
Email-Enron,Golang_DP-WCC,18,0.800254234
Email-Enron,Golang_DP-WCC,19,0.800256549
Email-Enron,Golang_DP-WCC,20,0.800260576
Email-Enron,Golang_DP-WCC,21,0.800262283
Email-Enron,Golang_DP-WCC,22,0.800266222
Email-Enron,Golang_DP-WCC,23,0.800269244
Email-Enron,Golang_DP-WCC,24,0.800271587
Email-Enron,Golang_DP-WCC,25,0.800275631
Email-Enron,Golang_DP-WCC,26,0.800278042
Email-Enron,Golang_DP-WCC,27,0.800289089
Email-Enron,Golang_DP-WCC,28,0.800289845
Email-Enron,Golang_DP-WCC,29,0.800292315
Email-Enron,Golang_DP-WCC,30,0.800293219
Email-Enron,Golang_DP-WCC,31,0.800296745
Email-Enron,Golang_DP-WCC,32,0.800304957
Email-Enron,Golang_DP-WCC,33,0.800311171
Email-Enron,Golang_DP-WCC,34,0.800315301
Email-Enron,Golang_DP-WCC,35,0.800317101
Email-Enron,Golang_DP-WCC,36,0.803133613
Email-Enron,Golang_DP-WCC,37,0.811711005
Email-Enron,Golang_DP-WCC,38,0.811714192
Email-Enron,Golang_DP-WCC,39,0.811715794
Email-Enron,Golang_DP-WCC,40,0.81171766
Email-Enron,Golang_DP-WCC,41,0.811720119
Email-Enron,Golang_DP-WCC,42,0.812356957
Email-Enron,Golang_DP-WCC,43,0.81236005
Email-Enron,Golang_DP-WCC,44,0.812361637
Email-Enron,Golang_DP-WCC,45,0.812363526
Email-Enron,Golang_DP-WCC,46,0.81236606
Email-Enron,Golang_DP-WCC,47,0.812368956
Email-Enron,Golang_DP-WCC,48,0.812372259
Email-Enron,Golang_DP-WCC,49,0.812376107
Email-Enron,Golang_DP-WCC,50,0.81238042
Email-Enron,Golang_DP-WCC,51,0.81238532
Email-Enron,Golang_DP-WCC,52,0.81239093
Email-Enron,Golang_DP-WCC,53,0.812396868
Email-Enron,Golang_DP-WCC,54,0.812403602
Email-Enron,Golang_DP-WCC,55,0.812410657
Email-Enron,Golang_DP-WCC,56,0.812418045
Email-Enron,Golang_DP-WCC,57,0.812426019
Email-Enron,Golang_DP-WCC,58,0.812434299
Email-Enron,Golang_DP-WCC,59,0.812443501
Email-Enron,Golang_DP-WCC,60,0.812453548
Email-Enron,Golang_DP-WCC,61,0.812464121
Email-Enron,Golang_DP-WCC,62,0.812474978
Email-Enron,Golang_DP-WCC,63,0.812486353
Email-Enron,Golang_DP-WCC,64,0.812498249
Email-Enron,Golang_DP-WCC,65,0.812524274
Email-Enron,Golang_DP-WCC,66,0.812545677
Email-Enron,Golang_DP-WCC,67,0.812595127
Email-Enron,Golang_DP-WCC,68,0.812648154
Email-Enron,Golang_DP-WCC,69,0.812651684
Email-Enron,Golang_DP-WCC,70,0.812712069
Email-Enron,Golang_DP-WCC,71,0.81279515
Email-Enron,Golang_DP-WCC,72,0.812796283
Email-Enron,Golang_DP-WCC,73,0.812831931
Email-Enron,Golang_DP-WCC,74,0.812875683
Email-Enron,Golang_DP-WCC,75,0.812955501
Email-Enron,Golang_DP-WCC,76,0.81298518
Email-Enron,Golang_DP-WCC,77,0.812992663
Email-Enron,Golang_DP-WCC,78,0.813134878
Email-Enron,Golang_DP-WCC,79,0.813161485
Email-Enron,Golang_DP-WCC,80,0.813186259
Email-Enron,Golang_DP-WCC,81,0.81323547
Email-Enron,Golang_DP-WCC,82,0.813300536
Email-Enron,Golang_DP-WCC,83,0.813340375
Email-Enron,Golang_DP-WCC,84,0.813400941
Email-Enron,Golang_DP-WCC,85,0.813421709
Email-Enron,Golang_DP-WCC,86,0.813497617
Email-Enron,Golang_DP-WCC,87,0.81351162
Email-Enron,Golang_DP-WCC,88,0.813541388
Email-Enron,Golang_DP-WCC,89,0.813574793
Email-Enron,Golang_DP-WCC,90,0.813690892
Email-Enron,Golang_DP-WCC,91,0.814838632
Email-Enron,Golang_DP-WCC,92,0.814839941
Email-Enron,Golang_DP-WCC,93,0.814841322
Email-Enron,Golang_DP-WCC,94,0.814843108
Email-Enron,Golang_DP-WCC,95,0.814845459
Email-Enron,Golang_DP-WCC,96,0.814848372
Email-Enron,Golang_DP-WCC,97,0.81485167
Email-Enron,Golang_DP-WCC,98,0.814855644
Email-Enron,Golang_DP-WCC,99,0.81486002
Email-Enron,Golang_DP-WCC,100,0.814865077
Email-Enron,Golang_DP-WCC,101,0.814871304
Email-Enron,Golang_DP-WCC,102,0.814877704
Email-Enron,Golang_DP-WCC,103,0.814884478
Email-Enron,Golang_DP-WCC,104,0.814891702
Email-Enron,Golang_DP-WCC,105,0.81489928
Email-Enron,Golang_DP-WCC,106,0.814907463
Email-Enron,Golang_DP-WCC,107,0.814916176
Email-Enron,Golang_DP-WCC,108,0.814935214
Email-Enron,Golang_DP-WCC,109,0.814962996
Email-Enron,Golang_DP-WCC,110,0.815003229
Email-Enron,Golang_DP-WCC,111,0.81506828
Email-Enron,Golang_DP-WCC,112,0.815069641
Email-Enron,Golang_DP-WCC,113,0.815077308
Email-Enron,Golang_DP-WCC,114,0.815117616
Email-Enron,Golang_DP-WCC,115,0.815133393
Email-Enron,Golang_DP-WCC,116,0.815150587
Email-Enron,Golang_DP-WCC,117,0.815209901
Email-Enron,Golang_DP-WCC,118,0.815250495
Email-Enron,Golang_DP-WCC,119,0.8152652
Email-Enron,Golang_DP-WCC,120,0.815274391
Email-Enron,Golang_DP-WCC,121,0.815317842
Email-Enron,Golang_DP-WCC,122,0.81532503
Email-Enron,Golang_DP-WCC,123,0.815353438
Email-Enron,Golang_DP-WCC,124,0.815403776
Email-Enron,Golang_DP-WCC,125,0.815476604
Email-Enron,Golang_DP-WCC,126,0.815498031
Email-Enron,Golang_DP-WCC,127,0.815521236
